Number,Company Name,Year,Revenue,Source,Discrepancy,Classement having discrepancy,Notes,Conglomerate,Public
NA,NA,2013,2422,2016,NA,NA,NA,NA,NA
NA,NA,2012,4000,2015,NA,NA,NA,NA,NA
NA,NA,2011,5005,2014,NA,NA,NA,NA,NA
NA,NA,2010,6000,2011,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
329,STE REGIONALE TRANSPORT KASSERINE,2018,4932,2020,NA,NA,NA,0,1
NA,NA,2017,3962,2020,NA,NA,NA,NA,NA
NA,NA,2014,4048,2016,NA,NA,NA,NA,NA
NA,NA,2013,3870,2016,NA,NA,NA,NA,NA
NA,NA,2012,4107,2015,NA,NA,NA,NA,NA
NA,NA,2011,4230,2012,NA,NA,NA,NA,NA
NA,NA,2010,3844,2012,NA,NA,NA,NA,NA
NA,NA,2009,4230,2010,NA,NA,NA,NA,NA
NA,NA,2008,3844,2010,NA,NA,NA,NA,NA
NA,NA,2007,3410,2009,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
330,UNION FINANCIERE (UFI GROUP),2018,4932,2020,NA,NA,NA,1,1
NA,NA,2017,3256,2020,NA,NA,NA,NA,NA
NA,NA,2014,2598,2016,NA,NA,NA,NA,NA
NA,NA,2013,2999,2016,NA,NA,NA,NA,NA
NA,NA,2012,2220,2015,NA,NA,NA,NA,NA
NA,NA,2011,2615,2014,NA,NA,NA,NA,NA
NA,NA,2010,2889,2011,NA,NA,NA,NA,NA
NA,NA,2009,1411,2011,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
331,AGENCE NATIONALE DE CERTIFICATION ELECTRONIQUE,2018,4886,2020,NA,NA,NA,NA,NA
NA,NA,2017,3952,2020,NA,NA,NA,1,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
332,CARAVEL (GROUPE UFI),2018,4647,2020,NA,NA,NA,NA,NA
NA,NA,2017,2808,NA,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
333,SMC EL MOURADI (GROUPE MOURADI),2018,4517,2020,NA,NA,NA,0,1
NA,NA,2017,NA,NA,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
334,DISTRIPRO (GROUPE SLAMA),2018,4223,2020,NA,NA,NA,NA,NA
NA,NA,2017,92614,2020,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
335,STE TNNE COLLECTE LAIT - SOTUCOLAIT (GROUPE SFBT),2018,4070,2020,NA,NA,NA,1,1
NA,NA,2017,10189,2020,NA,NA,NA,NA,NA
NA,NA,2014,9435,2016,NA,NA,NA,NA,NA
NA,NA,2013,10026,2016,NA,NA,NA,NA,NA
NA,NA,2012,8709,2015,NA,NA,NA,NA,NA
NA,NA,2011,10332,2012,NA,NA,NA,NA,NA
NA,NA,2010,9686,2012,NA,NA,NA,NA,NA
NA,NA,2009,4412,2010,NA,NA,NA,NA,NA
NA,NA,2008,7200,2010,NA,NA,NA,NA,NA
NA,NA,2007,6900,2008,NA,NA,NA,NA,NA
NA,NA,2006,3914,2008,NA,NA,NA,NA,NA
336,JS.COM (DEMCO),2018,4045,2020,NA,NA,NA,0,1
NA,NA,2017,NA,NA,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
337,CARS MATERIALS ET SOLUTIONS CMS (GROUPE ALLIANCE),2018,3863,2020,NA,NA,NA,NA,1
NA,NA,2017,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
338,SOCIETE INFORMATIQUE ET TELEMATIQUE,2018,3800,2020,NA,NA,NA,0,1
NA,NA,2017,2662,2020,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
339,SOCIETE IMOBILIERE TUNISO-SEOUDIENNE SITS,2018,3792,2020,NA,NA,NA,0,NA
NA,NA,2017,15450,2020,NA,NA,NA,NA,NA
NA,NA,2014,25655,2016,NA,NA,"""GROUPE SITS""",NA,NA
NA,NA,2013,18067,2016,NA,NA,NA,NA,NA
NA,NA,2012,19920,2015,NA,NA,NA,NA,NA
NA,NA,2011,11395,2012,NA,NA,NA,NA,NA
NA,NA,2010,21627,2012,NA,NA,NA,NA,NA
NA,NA,2009,15579,2010,NA,NA,NA,NA,NA
NA,NA,2008,15838,2010,NA,NA,NA,NA,NA
NA,NA,2007,16240,2008,NA,NA,NA,NA,NA
NA,NA,2006,5243,2008,NA,NA,NA,NA,NA
340,IMMOBILIERE DE LA LIBERTE,2018,3707,2020,NA,NA,NA,0,NA
NA,NA,2017,4217,2020,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
341,CLINIQUE JAWHARA (GROUPE MARHABA),2018,3683,2020,NA,NA,NA,1,1
NA,NA,2017,NA,NA,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
342,SOCIETE NOVYC TUNISIE,2018,3647,2020,NA,NA,NA,NA,NA
NA,NA,2017,2511,2020,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
343,STE TOURISTIQUE MOURADI TOZEUR (GROUPE MEUBLATEX),2018,3591,2020,NA,NA,NA,1,1
NA,NA,2017,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2014,3061,2016,NA,NA,NA,NA,NA
NA,NA,2013,2186,2016,NA,NA,NA,NA,NA
NA,NA,2012,2741,2015,NA,NA,NA,NA,NA
NA,NA,2011,1350,2014,NA,NA,NA,NA,NA
NA,NA,2010,3793,2011,NA,NA,NA,NA,NA
NA,NA,2009,3436,2011,NA,NA,NA,NA,NA
NA,NA,2008,4452,2010,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
344,NASEEM DISTRIBUTION (GROUPE SLAMA),2018,3484,2020,NA,NA,NA,1,1
NA,NA,2017,2160,2020,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
345,AFRIKISOL INDUSTRIE,2018,3420,2020,NA,NA,NA,0,0
NA,NA,2017,2313,2020,NA,NA,NA,NA,NA
NA,NA,2014,3942,2016,NA,NA,NA,NA,NA
NA,NA,2013,1833,2016,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
346,SOCIETE TUNISIENNE DES ARTS GRAPHIQUES STAG TUNISIE,2018,3328,2020,NA,NA,NA,NA,NA
NA,NA,2017,2328,2020,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
347,SOFCASUD (GROUPE HAMMAMI),2018,2969,2020,NA,NA,NA,1,0
NA,NA,2017,2667,2020,NA,NA,NA,NA,NA
NA,NA,2014,3608,2016,NA,NA,NA,NA,NA
NA,NA,2013,4412,2016,NA,NA,NA,NA,NA
NA,NA,2012,3971,2015,NA,NA,NA,NA,NA
NA,NA,2011,4006,2012,NA,NA,NA,NA,NA
NA,NA,2010,3885,2012,NA,NA,NA,NA,NA
NA,NA,2009,3480,2010,NA,NA,NA,NA,NA
NA,NA,2008,3699,2010,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
348,-,NA,NA,NA,NA,NA,Look at #119,NA,NA
349,BUILDINGS MATERIALS SOLUTIONS BMS (GROUPE ALLIANCE),2018,2694,2020,NA,NA,NA,NA,1
NA,NA,2017,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
350,SPTM CAP MAHDIA (GROUPE MEUBLATEX ET EL MOURADI),2018,2570,2020,NA,NA,NA,1,1
NA,NA,2017,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2014,3452,2016,NA,NA,NA,NA,NA
NA,NA,2013,3042,2016,NA,NA,NA,NA,NA
NA,NA,2012,2805,2015,NA,NA,NA,NA,NA
NA,NA,2011,1728,2014,NA,NA,NA,NA,NA
NA,NA,2010,3327,2011,NA,NA,NA,NA,NA
NA,NA,2009,3575,2011,NA,NA,NA,NA,NA
NA,NA,2008,5160,2010,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
351,DEMCOTEX (GROUPE DEMCO),2018,2519,2020,NA,NA,NA,0,1
NA,NA,2017,2327,2020,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
352,TUNISIAN TESTING SERVICES,2018,2502,2020,NA,NA,NA,NA,NA
NA,NA,2017,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
353,-,NA,NA,NA,NA,NA,Look at #47,NA,NA
354,OFFICE DEVELOPPEMENT DU NORD-OUEST,2018,2421,2020,NA,NA,NA,0,1
NA,NA,2017,2303,2020,NA,NA,NA,NA,NA
NA,NA,2014,23702,2016,NA,NA,NA,NA,NA
NA,NA,2013,20943,2016,20373,2015,NA,NA,NA
NA,NA,2012,11681,2015,NA,NA,NA,NA,NA
NA,NA,2011,11110,2012,NA,NA,NA,NA,NA
NA,NA,2010,9535,2012,NA,NA,NA,NA,NA
NA,NA,2009,16501,2010,NA,NA,NA,NA,NA
NA,NA,2008,20431,2010,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
355,CENTRE NATIONAL D'ACREDITATION,2018,2367,2020,NA,NA,NA,NA,NA
NA,NA,2017,2003,2020,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
356,STE FABRIC. BOISSONS TSIE DISTRIBUTION (GROUPE SFBT),2018,2315,2020,NA,NA,NA,1,1
NA,NA,2017,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2014,35323,2016,NA,NA,"""STE FABRIC. BOISSONS TSIE DISTRIBUTION - STPP (GROUPE SFBT) """,NA,NA
NA,NA,2013,30824,2016,NA,NA,NA,NA,NA
NA,NA,2012,30300,2015,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
357,ITT DISTRIBUTION (GROUPE SLAMA),2018,2170,2020,NA,NA,NA,1,1
NA,NA,2017,3196,2020,NA,NA,NA,NA,NA
NA,NA,2014,2296,2016,NA,NA,NA,NA,NA
NA,NA,2013,1577,2016,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
358,GLE INDUSTRIE PEINTURE- SOGIP,2018,2135,2020,NA,NA,NA,0,NA
NA,NA,2017,2093,2020,NA,NA,NA,NA,NA
NA,NA,2014,21760,2016,NA,NA,NA,NA,NA
NA,NA,2013,21650,2016,21700,2015,NA,NA,NA
NA,NA,2012,18100,2015,NA,NA,NA,NA,NA
NA,NA,2011,15800,2012,NA,NA,NA,NA,NA
NA,NA,2010,16200,2012,NA,NA,NA,NA,NA
NA,NA,2009,13500,2010,NA,NA,NA,NA,NA
NA,NA,2008,13000,2010,NA,NA,NA,NA,NA
NA,NA,2007,12000,2008,NA,NA,NA,NA,NA
NA,NA,2006,10500,2008,NA,NA,NA,NA,NA
359,IRM (GROUPE MARHABA),2018,2010,2020,NA,NA,NA,0,1
NA,NA,2017,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,Robert Mathew
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,LEONI TUNISIA GROUP,2014,751000,2016,NA,NA,NA,0,NA
NA,NA,2013,703000,2016,NA,NA,NA,NA,NA
NA,NA,2012,650000,2015,NA,NA,NA,NA,NA
NA,NA,2011,670000,2014,NA,NA,NA,NA,NA
NA,NA,2010,260000,2011,NA,NA,This was considered a conglomerate for classement 2012 and the ones before. The revenue is left blank for the year 2010.,NA,NA
NA,NA,2009,206000,2011,212792,2010,"This company is named ""LEONI TUNISIE SA"" for classement 2011 and the ones before",NA,NA
NA,NA,2008,207934,2010,202432,2009,NA,NA,NA
NA,NA,2007,159854,2009,163874,2008,NA,NA,NA
NA,NA,2006,148159,2008,NA,NA,NA,NA,NA
16,SOCOGES (GROUPE DELICE),2014,716373,2016,NA,NA,NA,1,NA
NA,NA,2013,696131,2016,NA,NA,NA,NA,NA
NA,NA,2012,638024,2015,NA,NA,NA,NA,NA
NA,NA,2011,554078,2014,NA,NA,NA,NA,NA
NA,NA,2010,525133,2012,NA,NA,NA,NA,NA
NA,NA,2009,451640,2011,NA,NA,NA,NA,NA
NA,NA,2008,389444,2010,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,No entry in classement 2009,NA,NA
25,CIE TNNE NAVIGATION - CTN,2014,361754,2016,NA,NA,NA,0,0
NA,NA,2013,347733,2016,344547,2015,NA,NA,NA
NA,NA,2012,339520,2015,335042,2014,NA,NA,NA
NA,NA,2011,286349,2014,282533,2012,NA,NA,NA
NA,NA,2010,283583,2012,NA,NA,NA,NA,NA
NA,NA,2009,266203,2011,266212,2010,NA,NA,NA
NA,NA,2008,297456,2010,NA,NA,NA,NA,NA
NA,NA,2007,279143,2009,278581,2008,NA,NA,NA
NA,NA,2006,247879,2008,NA,NA,NA,NA,NA
27,CLC DELICE (GROUPE DELICE),2014,330317,2016,NA,NA,NA,1,0
NA,NA,2013,332365,2016,NA,NA,NA,NA,NA
NA,NA,2012,300047,2015,NA,NA,NA,NA,NA
NA,NA,2011,280294,2014,NA,NA,NA,NA,NA
NA,NA,2010,278993,2012,NA,NA,NA,NA,NA
NA,NA,2009,236064,2011,NA,NA,NA,NA,NA
NA,NA,2008,206179,2010,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,No entry in classement 2009,NA,NA
NA,NA,2006,NA,NA,NA,NA,No entry in classement 2008,NA,NA
29,BENETTON INDUSTRIELLE TUNISIA,2014,297160,2016,NA,NA,NA,0,0
NA,NA,2013,261667,2016,NA,NA,NA,NA,NA
NA,NA,2012,314627,2014,NA,NA,NA,NA,NA
NA,NA,2011,304369,2014,312000,2012,NA,NA,NA
NA,NA,2010,282000,2012,NA,NA,NA,NA,NA
NA,NA,2009,256086,2011,NA,NA,NA,NA,NA
NA,NA,2008,261793,2010,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
32,LA POSTE TUNISIENNE,2014,279296,2016,NA,NA,NA,0,0
NA,NA,2013,262043,2016,NA,NA,NA,NA,NA
NA,NA,2012,247007,2015,NA,NA,NA,NA,NA
NA,NA,2011,229488,2014,NA,NA,NA,NA,NA
NA,NA,2010,216961,2012,216951,2011,NA,NA,NA
NA,NA,2009,193485,2011,NA,NA,NA,NA,NA
NA,NA,2008,182917,2010,182722,2009,NA,NA,NA
NA,NA,2007,166053,2009,167863,2008,NA,NA,NA
NA,NA,2006,154944,2008,NA,NA,NA,NA,NA
33,STIAL DELICE DANONE (GROUPE DELICE),2014,276253,2016,NA,NA,NA,1,0
NA,NA,2013,313340,2016,NA,NA,NA,NA,NA
NA,NA,2012,274716,2015,NA,NA,NA,NA,NA
NA,NA,2011,230956,2014,NA,NA,NA,NA,NA
NA,NA,2010,204508,2012,NA,NA,NA,NA,NA
NA,NA,2009,183971,2011,NA,NA,NA,NA,NA
NA,NA,2008,164018,2010,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,No entry in classement 2009,NA,NA
NA,NA,2006,NA,NA,NA,NA,No entry in classement 2008,NA,NA
36,STAFIM PEUGEOT,2014,226509,2016,NA,NA,NA,0,NA
NA,NA,2013,222172,2016,182794,2015,NA,NA,NA
NA,NA,2012,211095,2015,NA,NA,NA,NA,NA
NA,NA,2011,170614,2014,NA,NA,NA,NA,NA
NA,NA,2010,153887,2012,NA,NA,NA,NA,NA
NA,NA,2009,139244,2011,117000,2010,NA,NA,NA
NA,NA,2008,119000,2010,NA,NA,NA,NA,NA
NA,NA,2007,146581,2009,NA,NA,NA,NA,NA
NA,NA,2006,134280,2010,NA,NA,NA,NA,NA
53,STE CIMENTS DE GABES,2014,159465,2016,NA,NA,NA,0,NA
NA,NA,2013,127073,2016,NA,NA,NA,NA,NA
NA,NA,2012,117391,2015,115156,2014,NA,NA,NA
NA,NA,2011,102236,2014,102238,2012,NA,NA,NA
NA,NA,2010,114907,2012,114906,2011,NA,NA,NA
NA,NA,2009,110274,2011,NA,NA,NA,NA,NA
NA,NA,2008,102052,2010,NA,NA,NA,NA,NA
NA,NA,2007,84538,2009,NA,NA,NA,NA,NA
NA,NA,2006,75074,2008,NA,NA,NA,NA,NA
54,OFFICE NATIONAL ASSAINISSEMENT- ONAS,2014,159200,2016,NA,NA,NA,0,1
NA,NA,2013,145400,2016,143258,2015,NA,NA,NA
NA,NA,2012,138105,2015,139400,NA,NA,NA,NA
NA,NA,2011,130765,2014,146852,2012,NA,NA,NA
NA,NA,2010,139365,2012,123400,2011,NA,NA,NA
NA,NA,2009,111600,2011,111800,2010,NA,NA,NA
NA,NA,2008,109916,2010,NA,NA,NA,NA,NA
NA,NA,2007,106710,2009,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
58,SANCELLA TUNISIE,2014,151000,2016,NA,NA,NA,0,0
NA,NA,2013,151000,2016,NA,NA,NA,NA,NA
NA,NA,2012,135000,2015,170000,2014,NA,NA,NA
NA,NA,2011,119000,2014,96800,2012,NA,NA,NA
NA,NA,2010,95200,2012,95000,2011,NA,NA,NA
NA,NA,2009,89000,2011,NA,NA,NA,NA,NA
NA,NA,2008,85000,2010,83700,2009,NA,NA,NA
NA,NA,2007,76200,2009,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
62,STE TUNISO-ANDALOUSE CIMENT BLANC- SOTACIB,2014,136253,2016,NA,NA,NA,0,NA
NA,NA,2013,128451,2016,129127,2015,NA,NA,NA
